USERNAME,COUNTRY_CODE,EMAIL_ADDRESS,CREDITCARD_TYPE,CUST_ID,AGE,SUBSCRIPTION_TYPE,WATCH_TOUCHPOINT,WATCH_STATUS,SUBSCRIPTION_TYPE,GENERATION,Dinosaur Planet,Isle of Man TT 2004 Review,Character,Paula Abduls Get Up & Dance,The Rise and Fall of ECW,Sick,8 Man,What the Do We Know,The Rings,Class of Nuke Em High 2,Fight club,Fighter,Full Frame Documentary Shorts,My Favorite Brunette,Lord of the Rings The Return of the King Extended Edition Bonus Material,Nature Antarctica,Neil Diamond Greatest Hits Live,Screamers,7 Seconds,Immortal Beloved,By Dawns Early Light,Seeta Aur Geeta,Strange Relations,Chump Change,Clifford Clifford Saves the Day,My Bloody Valentine,Inspector Morse 31 Death Is Now My Neighbour,Never Die Alone,Sesame Street Elmos World The Street We Live On
Anthony Carr        ,ES,Anthony.T.Carr@trashymail.com,Discover,10019,53,In-Progress,Phone,Occasional,LowValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Anthony Carr        ,ES,Anthony.T.Carr@trashymail.com,Discover,10019,53,Complete,Phone,Occasional,LowValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melvin Schmitz      ,ES,Melvin.B.Schmitz@dodgeit.com,VISA,10027,32,Complete,Phone,Occasional,LowValue,Gen_Y,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Melvin Schmitz      ,ES,Melvin.B.Schmitz@dodgeit.com,VISA,10027,32,Cancelled,Phone,Occasional,LowValue,Gen_Y,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melvin Schmitz      ,ES,Melvin.B.Schmitz@dodgeit.com,VISA,10027,32,Abandoned,Phone,Occasional,LowValue,Gen_Y,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Melvin Schmitz      ,ES,Melvin.B.Schmitz@dodgeit.com,VISA,10027,32,In-Progress,Phone,Occasional,LowValue,Gen_Y,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
John Hoffman        ,US,John.D.Hoffman@trashymail.com,American Express,10031,46,Complete,Phone,Occasional,LowValue,Gen_X,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Muriel Exley        ,IT,Muriel.J.Exley@trashymail.com,Discover,10035,46,Complete,Phone,Occasional,LowValue,Gen_X,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Moyle         ,US,James.O.Moyle@pookmail.com,Master Card,10039,72,Complete,Desktop,Frequent,HighValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0
James Moyle         ,US,James.O.Moyle@pookmail.com,Master Card,10039,72,Complete,Desktop,Frequent,HighValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
James Moyle         ,US,James.O.Moyle@pookmail.com,Master Card,10039,72,Complete,Desktop,Frequent,HighValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
Calvin Shupe        ,IT,Calvin.M.Shupe@spambob.com,VISA,10047,49,Complete,Phone,Occasional,LowValue,Gen_X,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfonso Frazier     ,US,Alfonso.K.Frazier@pookmail.com,American Express,10051,47,Complete,Phone,Occasional,LowValue,Gen_X,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Alfonso Frazier     ,US,Alfonso.K.Frazier@pookmail.com,American Express,10051,47,Complete,Phone,Occasional,LowValue,Gen_X,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Alfonso Frazier     ,US,Alfonso.K.Frazier@pookmail.com,American Express,10051,47,Complete,Phone,Occasional,LowValue,Gen_X,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Alfonso Frazier     ,US,Alfonso.K.Frazier@pookmail.com,American Express,10051,47,Complete,Phone,Occasional,LowValue,Gen_X,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Alfonso Frazier     ,US,Alfonso.K.Frazier@pookmail.com,American Express,10051,47,Cancelled,Phone,Occasional,LowValue,Gen_X,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfonso Frazier     ,US,Alfonso.K.Frazier@pookmail.com,American Express,10051,47,Complete,Phone,Occasional,LowValue,Gen_X,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfonso Frazier     ,US,Alfonso.K.Frazier@pookmail.com,American Express,10051,47,In-Progress,Phone,Occasional,LowValue,Gen_X,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reda Fullilove      ,ES,Reda.J.Fullilove@dodgeit.com,Diners Club,10055,24,In-Progress,Phone,FirstTime,LowValue,Gen_Y,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Reda Fullilove      ,ES,Reda.J.Fullilove@dodgeit.com,Diners Club,10055,24,Complete,Phone,FirstTime,HighValue,Gen_Y,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
Reda Fullilove      ,ES,Reda.J.Fullilove@dodgeit.com,Diners Club,10055,24,Complete,Phone,FirstTime,MediumValue,Gen_Y,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Cecil Games         ,ES,Cecil.A.Games@trashymail.com,VISA,10059,age-32,In-Progress,Phone,FirstTime,LowValue,Gen_Z,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cecil Games         ,ES,Cecil.A.Games@trashymail.com,VISA,10059,age-32,Complete,Phone,FirstTime,HighValue,Gen_Z,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Edward Turner       ,US,Edward.C.Turner@mailinator.com,Diners Club,10063,65,Cancelled,Desktop,Frequent,HighValue,Baby_Boomers,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Edward Turner       ,US,Edward.C.Turner@mailinator.com,Diners Club,10063,65,Complete,Desktop,Frequent,HighValue,Baby_Boomers,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1
Edward Turner       ,US,Edward.C.Turner@mailinator.com,Diners Club,10063,65,Complete,Desktop,Frequent,HighValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
Amy Randle          ,ES,Amy.M.Randle@mailinator.com,VISA,10067,28,Cancelled,Phone,Frequent,MediumValue,Gen_Y,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0
Amy Randle          ,ES,Amy.M.Randle@mailinator.com,VISA,10067,28,Complete,Phone,Frequent,LowValue,Gen_Y,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Rafael Middleton    ,US,Rafael.G.Middleton@spambob.com,JCB,10075,73,Complete,Desktop,Frequent,MediumValue,Baby_Boomers,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
Rafael Middleton    ,US,Rafael.G.Middleton@spambob.com,JCB,10075,73,Complete,Desktop,Frequent,HighValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
Rafael Middleton    ,US,Rafael.G.Middleton@spambob.com,JCB,10075,73,Complete,Desktop,Frequent,HighValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
Earl Bruner         ,CA,Earl.M.Bruner@pookmail.com,American Express,10079,19,Complete,Phone,Frequent,LowValue,Gen_Z,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Linda Garcia        ,IT,Linda.J.Garcia@mailinator.com,JCB,10083,40,Complete,Phone,Occasional,LowValue,Gen_Y,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quinn Perry         ,US,Quinn.S.Perry@spambob.com,American Express,10091,40,Complete,Phone,Occasional,LowValue,Gen_Y,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Quinn Perry         ,US,Quinn.S.Perry@spambob.com,American Express,10091,40,Complete,Phone,Occasional,LowValue,Gen_Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Quinn Perry         ,US,Quinn.S.Perry@spambob.com,American Express,10091,40,In-Progress,Phone,Occasional,LowValue,Gen_Y,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kristin Mendoza     ,US,Kristin.T.Mendoza@spambob.com,Diners Club,10095,age-55,Cancelled,Phone,Frequent,LowValue,Gen_Z,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Kristin Mendoza     ,US,Kristin.T.Mendoza@spambob.com,Diners Club,10095,age-55,Complete,Phone,Frequent,LowValue,Gen_Z,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kristin Mendoza     ,US,Kristin.T.Mendoza@spambob.com,Diners Club,10095,age-55,Complete,Phone,Frequent,HighValue,Gen_Z,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
Kristin Mendoza     ,US,Kristin.T.Mendoza@spambob.com,Diners Club,10095,age-55,Cancelled,Phone,Frequent,LowValue,Gen_Z,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kristin Mendoza     ,US,Kristin.T.Mendoza@spambob.com,Diners Club,10095,age-55,Complete,Phone,Frequent,MediumValue,Gen_Z,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Michael Gordon      ,IT,Michael.S.Gordon@dodgeit.com,Diners Club,10099,63,Complete,Phone,Occasional,LowValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Phyllis White       ,AU,Phyllis.J.White@pookmail.com,American Express,10103,51,Complete,Phone,Occasional,LowValue,Gen_X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Phyllis White       ,AU,Phyllis.J.White@pookmail.com,American Express,10103,51,Complete,Phone,Occasional,LowValue,Gen_X,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phyllis White       ,AU,Phyllis.J.White@pookmail.com,American Express,10103,51,Complete,Phone,Occasional,LowValue,Gen_X,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Phyllis White       ,AU,Phyllis.J.White@pookmail.com,American Express,10103,51,In-Progress,Phone,Occasional,LowValue,Gen_X,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Katherine Mullins   ,US,Katherine.W.Mullins@spambob.com,Diners Club,10107,64,Complete,Phone,Occasional,LowValue,Baby_Boomers,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Katherine Mullins   ,US,Katherine.W.Mullins@spambob.com,Diners Club,10107,64,Cancelled,Phone,Occasional,LowValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Katherine Mullins   ,US,Katherine.W.Mullins@spambob.com,Diners Club,10107,64,Complete,Phone,Occasional,LowValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Katherine Mullins   ,US,Katherine.W.Mullins@spambob.com,Diners Club,10107,64,Complete,Phone,Occasional,LowValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Lisa Guest          ,IT,Lisa.D.Guest@spambob.com,Diners Club,10111,19,Cancelled,Phone,Frequent,LowValue,Gen_Z,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Lisa Guest          ,IT,Lisa.D.Guest@spambob.com,Diners Club,10111,19,Complete,Phone,Frequent,LowValue,Gen_Z,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Scott Lawson        ,US,Scott.M.Lawson@spambob.com,JCB,10115,NA,Complete,Desktop,Occasional,LowValue,Gen_Z,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott Lawson        ,US,Scott.M.Lawson@spambob.com,JCB,10115,NA,In-Progress,Phone,Occasional,MediumValue,Gen_Z,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Scott Lawson        ,US,Scott.M.Lawson@spambob.com,JCB,10115,NA,Abandoned,Phone,Occasional,MediumValue,Gen_Z,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott Lawson        ,US,Scott.M.Lawson@spambob.com,JCB,10115,NA,Complete,Phone,Occasional,MediumValue,Gen_Z,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
Scott Lawson        ,US,Scott.M.Lawson@spambob.com,JCB,10115,NA,Complete,Phone,Occasional,HighValue,Gen_Z,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1
Scott Lawson        ,US,Scott.M.Lawson@spambob.com,JCB,10115,NA,In-Progress,Desktop,Occasional,HighValue,Gen_Z,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
Robert Bilbo        ,IT,Robert.L.Bilbo@dodgeit.com,JCB,10119,49,Complete,Phone,Occasional,LowValue,Gen_X,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Bilbo        ,IT,Robert.L.Bilbo@dodgeit.com,JCB,10119,49,Complete,Phone,Occasional,LowValue,Gen_X,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ahmed Richard       ,US,Ahmed.P.Richard@mailinator.com,JCB,10123,20,Complete,Phone,FirstTime,LowValue,Gen_Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ahmed Richard       ,US,Ahmed.P.Richard@mailinator.com,JCB,10123,20,Cancelled,Phone,FirstTime,LowValue,Gen_Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ahmed Richard       ,US,Ahmed.P.Richard@mailinator.com,JCB,10123,20,Complete,Phone,FirstTime,HighValue,Gen_Z,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Ahmed Richard       ,US,Ahmed.P.Richard@mailinator.com,JCB,10123,20,Complete,Phone,FirstTime,LowValue,Gen_Z,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Ahmed Richard       ,US,Ahmed.P.Richard@mailinator.com,JCB,10123,20,Complete,Desktop,FirstTime,LowValue,Gen_Z,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Ray Hornsby         ,ES,Ray.M.Hornsby@pookmail.com,VISA,10127,49,Complete,Phone,Occasional,LowValue,Gen_X,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jason Glass         ,AU,Jason.M.Glass@spambob.com,Diners Club,10131,78,Complete,Desktop,Frequent,HighValue,Baby_Boomers,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0
Jason Glass         ,AU,Jason.M.Glass@spambob.com,Diners Club,10131,78,Abandoned,Desktop,Frequent,MediumValue,Baby_Boomers,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jason Glass         ,AU,Jason.M.Glass@spambob.com,Diners Club,10131,78,Complete,Desktop,Frequent,HighValue,Baby_Boomers,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1
Natalie White       ,US,Natalie.D.White@dodgeit.com,VISA,10135,NA,Complete,Phone,Occasional,HighValue,Gen_Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0
Natalie White       ,US,Natalie.D.White@dodgeit.com,VISA,10135,NA,Complete,Desktop,Occasional,HighValue,Gen_Z,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
Donna Klock         ,US,Donna.K.Klock@spambob.com,VISA,10139,53,Complete,Phone,Occasional,LowValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Donna Klock         ,US,Donna.K.Klock@spambob.com,VISA,10139,53,Complete,Phone,Occasional,LowValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Donna Klock         ,US,Donna.K.Klock@spambob.com,VISA,10139,53,Complete,Phone,Occasional,LowValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Donna Klock         ,US,Donna.K.Klock@spambob.com,VISA,10139,53,In-Progress,Phone,Occasional,LowValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Donald Velazquez    ,DE,Donald.H.Velazquez@pookmail.com,JCB,10147,age-19,Complete,Phone,FirstTime,LowValue,Gen_Z,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Donald Velazquez    ,DE,Donald.H.Velazquez@pookmail.com,JCB,10147,age-19,Cancelled,Desktop,FirstTime,MediumValue,Gen_Z,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Harry Brumback      ,US,Harry.L.Brumback@dodgeit.com,Discover,10151,75,Complete,Desktop,Frequent,LowValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Harry Brumback      ,US,Harry.L.Brumback@dodgeit.com,Discover,10151,75,Cancelled,Desktop,Frequent,HighValue,Baby_Boomers,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0
Harry Brumback      ,US,Harry.L.Brumback@dodgeit.com,Discover,10151,75,Complete,Desktop,Frequent,LowValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harold Magee        ,US,Harold.A.Magee@mailinator.com,American Express,10155,40,Complete,Phone,Occasional,LowValue,Gen_Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harold Magee        ,US,Harold.A.Magee@mailinator.com,American Express,10155,40,Complete,Phone,Occasional,LowValue,Gen_Y,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harold Magee        ,US,Harold.A.Magee@mailinator.com,American Express,10155,40,Complete,Phone,Occasional,LowValue,Gen_Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Harold Magee        ,US,Harold.A.Magee@mailinator.com,American Express,10155,40,Abandoned,Phone,Occasional,LowValue,Gen_Y,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Harold Magee        ,US,Harold.A.Magee@mailinator.com,American Express,10155,40,Complete,Phone,Occasional,LowValue,Gen_Y,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melba Whitehead     ,AU,Melba.M.Whitehead@trashymail.com,American Express,10159,53,Complete,Phone,Occasional,LowValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Melba Whitehead     ,AU,Melba.M.Whitehead@trashymail.com,American Express,10159,53,Complete,Phone,Occasional,LowValue,Baby_Boomers,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melba Whitehead     ,AU,Melba.M.Whitehead@trashymail.com,American Express,10159,53,Complete,Phone,Occasional,LowValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Melba Whitehead     ,AU,Melba.M.Whitehead@trashymail.com,American Express,10159,53,Cancelled,Phone,Occasional,LowValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melba Whitehead     ,AU,Melba.M.Whitehead@trashymail.com,American Express,10159,53,Complete,Phone,Occasional,LowValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
